technology,plant_id,generator_id,capacity_mw,capacity_mwh,nameplate_capacity_mw,winter_capacity_mw,operating_year,retirement_year,historical_capacity_factor,heat_rate_mmbtu_mwh,vom_per_mwh,fom_per_mwyr
Natural Gas Fired Combustion Turbine,7158,GT4,78.0,,95.3,94.0,1992,2047,0.023,17.178,12.59653272,1229.357899
Natural Gas Fired Combustion Turbine,7158,GT5,80.0,,95.3,94.0,1992,2047,0.023,17.178,12.59653272,1229.357899
Natural Gas Fired Combustion Turbine,7158,GT6,80.0,,95.3,94.0,1992,2047,0.023,17.178,12.59653272,1229.357899
Natural Gas Fired Combustion Turbine,7159,1,91.5,,95.4,100.0,1993,2048,0.038,13.376,6.298266361,1229.357899
Natural Gas Fired Combustion Turbine,7159,2,89.8,,95.4,100.0,1993,2048,0.038,13.378,6.298266361,1229.357899
Natural Gas Fired Combustion Turbine,7159,3,94.2,,95.4,100.0,1994,2049,0.038,13.377,6.298266361,1229.357899
Natural Gas Fired Combustion Turbine,7159,4,91.7,,95.4,100.0,1994,2049,0.038,13.374,6.298266361,1229.357899
Hydroelectric Pumped Storage,7164,PG3,10.0,155.0,10.0,10.0,1993,2093,0.096,,0.0,28086.0
Hydroelectric Pumped Storage,7164,PG6,10.0,155.0,10.0,10.0,1993,2093,0.096,,0.0,33158.0
Hydroelectric Pumped Storage,7164,PG7,10.0,155.0,10.0,10.0,1993,2093,0.096,,0.0,33158.0
Hydroelectric Pumped Storage,7164,PS1,10.0,155.0,10.0,10.0,1993,2093,0.096,,0.0,33158.0
Run of River Hydroelectric,7166,1,21.2,,22.7,21.2,1988,2088,0.304,,0.0,10253.0
Run of River Hydroelectric,7166,2,21.2,,22.7,21.2,1988,2088,0.304,,0.0,10002.0
Run of River Hydroelectric,7179,1,6.5,,6.5,6.5,1993,2093,0.358,,0.0,10120.0
Run of River Hydroelectric,7179,2,6.5,,6.5,6.5,1993,2093,0.358,,0.0,9623.0
Run of River Hydroelectric,7179,3,6.5,,6.5,6.5,1993,2093,0.358,,0.0,9623.0
Run of River Hydroelectric,7189,1,3.5,,3.5,3.5,1986,2086,0.786,,0.0,12086.0
Run of River Hydroelectric,7190,1,48.0,,46.6,0.0,1992,2092,0.198,,0.0,6931.0
Run of River Hydroelectric,7190,2,0.0,,12.1,3.0,1992,2092,0.167,,0.0,7514.0
Run of River Hydroelectric,7190,3,0.3,,0.8,0.8,1992,2092,0.163,,0.0,11875.0
Run of River Hydroelectric,7191,1,2.0,,2.2,2.0,1986,2086,0.406,,0.0,14725.0
Run of River Hydroelectric,7191,2,0.1,,0.1,0.1,1986,2086,0.406,,0.0,44526.0
Run of River Hydroelectric,7200,1,4.0,,4.0,4.0,1989,2089,0.405,,0.0,11036.0
Run of River Hydroelectric,7200,2,4.0,,4.0,4.0,1989,2089,0.324,,0.0,10644.0
Natural Gas Fired Combustion Turbine,7203,CT1,82.0,,95.4,102.1,1993,2048,0.009,12.084,2.970058035,1229.357899
Natural Gas Fired Combustion Turbine,7203,CT2,81.7,,95.4,101.6,1994,2049,0.009,12.027,2.970058035,1229.357899
Natural Gas Fired Combustion Turbine,7203,CT3,82.2,,95.4,102.4,1994,2049,0.009,12.079,2.970058035,1229.357899
Natural Gas Fired Combustion Turbine,7203,CT4,81.9,,95.4,101.9,1996,2051,0.009,12.102,2.970058035,1229.357899
Natural Gas Steam Turbine,7210,ST1,415.0,,417.3,415.0,1996,2071,0.413,10.154,0.561,14594.0
Natural Gas Fired Combustion Turbine,7212,1,85.0,,92.1,92.0,1990,2045,0.038,12.377,1.485029017,561.023366
Natural Gas Fired Combustion Turbine,7212,2,85.0,,92.1,92.0,1990,2045,0.038,12.377,1.485029017,561.023366
Natural Gas Fired Combustion Turbine,7212,3,85.0,,92.1,92.0,1990,2045,0.038,12.377,1.485029017,561.023366
Natural Gas Fired Combustion Turbine,7212,4,85.0,,92.1,92.0,1990,2045,0.038,12.377,1.485029017,561.023366
Conventional Steam Coal,7213,1,220.0,,212.0,221.45,1995,2070,0.4,10.925,0.794800037,17548.685240000003
Conventional Steam Coal,7213,1,220.0,,212.0,221.45,1995,2070,0.4,10.925,0.794800037,17548.685240000003
Conventional Steam Coal,7213,2,218.55,,212.0,219.5,1996,2071,0.4,10.879,0.794800037,17548.685240000003
Conventional Steam Coal,7213,2,218.55,,212.0,219.5,1996,2071,0.4,10.879,0.794800037,17548.685240000003
Run of River Hydroelectric,7229,1,6.1,,6.1,6.1,1988,2088,0.186,,0.0,9798.0
Natural Gas Fired Combustion Turbine,7231,1,24.8,,32.3,24.8,1987,2042,0.016,13.379,2.740763267,307.06971100000004
Natural Gas Fired Combustion Turbine,7231,2,24.8,,32.3,24.8,1986,2041,0.016,13.38,2.740763267,307.06971100000004
Natural Gas Fired Combustion Turbine,7232,1,3.5,,3.9,3.5,1982,2037,0.249,11.835,1.370381634,1230.331313
Natural Gas Fired Combustion Turbine,7232,2,3.5,,3.9,3.5,1982,2037,0.249,11.835,1.370381634,1230.331313
Run of River Hydroelectric,7233,1,28.0,,26.6,28.0,1997,2097,0.252,,0.0,9607.0
Natural Gas Fired Combustion Turbine,7237,1,97.0,,119.7,115.0,1994,2025,0.047,11.806,1.485029017,1229.357899
Natural Gas Fired Combustion Turbine,7237,2,99.0,,119.7,118.0,1994,2025,0.047,11.806,1.485029017,1229.357899
Natural Gas Fired Combustion Turbine,7237,4,147.0,,166.3,168.0,2005,2060,0.049,11.806,1.485029017,1229.357899
Natural Gas Fired Combustion Turbine,7238,1,16.0,,16.0,21.0,1994,2049,0.047,13.028,28.46452204,8080.909324
Natural Gas Fired Combustion Turbine,7238,1,16.0,,16.0,21.0,1994,2049,0.047,13.028,28.46452204,8080.909324
Natural Gas Fired Combined Cycle,7238,2,38.0,,38.0,42.5,1995,2050,0.643,7.281,2.020837679,12250.749539999999
Natural Gas Fired Combined Cycle,7238,2,38.0,,38.0,42.5,1995,2050,0.643,7.281,2.020837679,12250.749539999999
Natural Gas Fired Combined Cycle,7238,2A,19.5,,20.0,20.0,1995,2050,0.643,7.281,2.020837679,12250.749539999999
Natural Gas Fired Combined Cycle,7238,2A,19.5,,20.0,20.0,1995,2050,0.643,7.281,2.020837679,12250.749539999999
Natural Gas Fired Combined Cycle,7238,3,76.0,,76.0,86.0,2002,2057,0.643,7.281,2.020837679,12250.749539999999
Natural Gas Fired Combined Cycle,7238,3,76.0,,76.0,86.0,2002,2057,0.643,7.281,2.020837679,12250.749539999999
Natural Gas Fired Combined Cycle,7238,3A,45.0,,41.25,45.0,2002,2057,0.643,7.281,2.020837679,12250.749539999999
Natural Gas Fired Combined Cycle,7238,3A,45.0,,41.25,45.0,2002,2057,0.643,7.281,2.020837679,12250.749539999999
Natural Gas Fired Combined Cycle,7238,4,160.0,,180.0,180.0,2011,2066,0.643,7.281,2.020837679,12250.749539999999
Natural Gas Fired Combined Cycle,7238,4A,130.0,,143.5,140.0,2011,2066,0.643,7.281,2.020837679,12250.749539999999
Natural Gas Fired Combined Cycle,7242,1CA,59.0,,133.4,59.0,1996,2051,0.554,7.164,4.52,9968.0
Natural Gas Fired Combined Cycle,7242,1CT,161.0,,192.9,161.0,1996,2051,0.554,7.164,3.671,6230.0
Natural Gas Fired Combined Cycle,7242,2,150.0,,175.8,180.0,2000,2055,0.554,7.164,3.516257561,8987.410604
Natural Gas Fired Combined Cycle,7242,2CC,461.0,,463.0,480.0,2017,2072,0.554,7.164,4.520267829,9967.508746
Natural Gas Fired Combined Cycle,7242,3,150.0,,175.8,180.0,2002,2057,0.554,7.164,3.516257561,8987.410604
Natural Gas Fired Combined Cycle,7242,4,150.0,,175.8,180.0,2007,2062,0.554,7.164,4.520267829,9967.508746
Natural Gas Fired Combined Cycle,7242,5,150.0,,175.8,180.0,2007,2062,0.554,7.164,4.520267829,9967.508746
Run of River Hydroelectric,7246,1,11.0,,34.2,11.0,1999,2099,1.0,,0.0,12658.0
Run of River Hydroelectric,7246,2,12.0,,34.2,12.0,1999,2099,1.0,,0.0,12064.0
Run of River Hydroelectric,7246,3,12.0,,34.2,12.0,1999,2099,1.0,,0.0,12064.0
Petroleum Liquids,7247,1,45.0,,67.5,55.0,1978,2028,0.008,14.047,5.481526534,307.06971100000004
Run of River Hydroelectric,7259,1,1.0,,1.0,1.0,1990,2090,0.429,,0.0,12834.0
Natural Gas Fired Combined Cycle,7266,2,33.0,,37.7,33.0,2003,2058,0.4,8.185,0.524412193,12250.749539999999
Natural Gas Fired Combined Cycle,7266,3,50.0,,60.5,50.0,2003,2058,0.4,8.185,0.524412193,12250.749539999999
Natural Gas Internal Combustion Engine,7266,3A,8.2,,8.4,8.2,2011,2066,0.099,10.745,1.370381634,8080.909324
Natural Gas Internal Combustion Engine,7266,3B,8.2,,8.4,8.2,2011,2066,0.099,10.745,1.370381634,8080.909324
Natural Gas Internal Combustion Engine,7266,3C,8.2,,8.4,8.2,2011,2066,0.099,10.745,1.370381634,8080.909324
Natural Gas Internal Combustion Engine,7266,3D,8.2,,8.4,8.2,2011,2066,0.099,10.745,1.370381634,8080.909324
Natural Gas Internal Combustion Engine,7266,3E,8.2,,8.4,8.2,2011,2066,0.099,10.745,1.370381634,8080.909324
Natural Gas Internal Combustion Engine,7266,3F,8.2,,8.4,8.2,2011,2066,0.099,10.745,1.370381634,8080.909324
Natural Gas Fired Combustion Turbine,7266,NA1,45.0,,50.4,45.0,1993,2048,0.138,10.745,10.917,4677.0
Natural Gas Fired Combustion Turbine,7268,7,35.0,,39.1,39.0,1992,2047,0.044,12.135,0.947143212,343.60217
Natural Gas Fired Combustion Turbine,7268,8,35.0,,39.1,39.0,1992,2047,0.044,12.135,0.947143212,343.60217
Natural Gas Fired Combustion Turbine,7268,9,75.0,,83.5,83.5,2000,2055,0.044,12.135,0.947143212,343.60217
Natural Gas Fired Combustion Turbine,7270,1,88.9,,95.4,100.0,1995,2050,0.042,13.404,6.298266361,1229.357899
Natural Gas Fired Combustion Turbine,7270,2,90.0,,95.4,100.0,1995,2050,0.042,13.399,6.298266361,1229.357899
Natural Gas Fired Combustion Turbine,7270,3,92.4,,95.4,100.0,1995,2050,0.043,13.401,6.298266361,1229.357899
Natural Gas Fired Combustion Turbine,7270,4,88.5,,95.4,100.0,1995,2050,0.042,13.407,6.298266361,1229.357899
Natural Gas Fired Combustion Turbine,7277,1,73.0,,109.6,94.0,1995,2050,0.001,25.0,0.974824419,561.023366
Natural Gas Fired Combustion Turbine,7277,10,73.0,,109.6,96.0,1995,2050,0.001,25.0,0.974824419,561.023366
Natural Gas Fired Combustion Turbine,7277,11,73.0,,109.6,95.0,1995,2050,0.001,25.0,0.974824419,561.023366
Natural Gas Fired Combustion Turbine,7277,12,73.0,,109.6,94.0,1995,2050,0.001,25.0,0.974824419,561.023366
Natural Gas Fired Combustion Turbine,7277,13,72.0,,109.6,93.0,1996,2051,0.001,25.0,0.974824419,561.023366
Natural Gas Fired Combustion Turbine,7277,14,72.0,,109.6,94.0,1996,2051,0.001,25.0,0.974824419,561.023366
Natural Gas Fired Combustion Turbine,7277,15,73.0,,109.6,94.0,1996,2051,0.001,25.0,0.974824419,561.023366
Natural Gas Fired Combustion Turbine,7277,16,73.0,,109.6,93.0,1996,2051,0.001,25.0,0.974824419,561.023366
Natural Gas Fired Combustion Turbine,7277,17,365.0,,536.4,402.0,2024,2079,0.924,9.142,0.974824419,561.023366
Natural Gas Fired Combustion Turbine,7277,2,74.0,,109.6,96.0,1995,2050,0.001,25.0,0.974824419,561.023366
Natural Gas Fired Combustion Turbine,7277,3,73.0,,109.6,95.0,1995,2050,0.001,25.0,0.974824419,561.023366
Natural Gas Fired Combustion Turbine,7277,4,73.0,,109.6,94.0,1995,2050,0.001,25.0,0.974824419,561.023366
Natural Gas Fired Combustion Turbine,7277,5,72.0,,109.6,93.0,1995,2050,0.001,25.0,0.974824419,561.023366
Natural Gas Fired Combustion Turbine,7277,6,72.0,,109.6,93.0,1995,2050,0.001,25.0,0.974824419,561.023366
Natural Gas Fired Combustion Turbine,7277,7,72.0,,109.6,95.0,1995,2050,0.001,25.0,0.974824419,561.023366
Natural Gas Fired Combustion Turbine,7277,8,72.0,,109.6,94.0,1995,2050,0.001,25.0,0.974824419,561.023366
Natural Gas Fired Combustion Turbine,7277,9,71.0,,109.6,94.0,1995,2050,0.001,25.0,0.974824419,561.023366
Run of River Hydroelectric,7279,1,1.3,,1.3,1.3,1988,2088,0.375,,0.0,12450.0
Run of River Hydroelectric,7279,2,3.9,,3.9,3.9,1988,2088,0.375,,0.0,10375.0
Natural Gas Fired Combustion Turbine,7281,CT1,12.5,,19.6,13.5,1990,2045,0.0,25.0,28.711,6029.0
Natural Gas Fired Combustion Turbine,7281,CT2,12.5,,19.6,13.5,1990,2045,0.0,25.0,27.596,4771.0
Natural Gas Fired Combustion Turbine,7283,1,3.4,,3.4,3.4,1990,2045,0.001,13.775,0.573297506,8080.909324
Natural Gas Fired Combustion Turbine,7283,2,3.4,,3.4,3.4,1990,2045,0.001,14.061,0.573297506,8080.909324
Natural Gas Fired Combustion Turbine,7283,3,3.4,,3.4,3.4,1990,2045,0.001,14.061,0.573297506,8080.909324
Natural Gas Fired Combustion Turbine,7283,4,3.4,,3.4,3.4,1990,2045,0.001,14.061,0.573297506,8080.909324
Petroleum Liquids,7283,5,0.2,,0.3,0.2,1991,2041,0.0,12.159,0.573297506,8080.909324
Natural Gas Fired Combustion Turbine,7288,SEHR,86.9,,112.8,99.0,1991,2046,0.027,13.674,14.23226102,1230.331313
Natural Gas Fired Combined Cycle,7294,GTG,48.0,,61.5,48.0,1989,2044,0.006,12.645,0.522406793,12250.749539999999
Natural Gas Fired Combined Cycle,7294,STG,8.0,,8.5,8.0,1989,2044,0.006,12.645,0.522406793,12250.749539999999
Natural Gas Fired Combustion Turbine,7296,1,90.0,,123.0,104.0,1995,2050,0.116,12.266,2.740763267,1230.331313
Natural Gas Fired Combined Cycle,7296,2-1,103.2,,108.6,118.8,2001,2056,0.501,7.38,0.577629499,8987.410604
Natural Gas Fired Combined Cycle,7296,2-1,68.8,,72.4,79.2,2001,2056,0.501,7.38,0.577629499,8987.410604
Natural Gas Fired Combined Cycle,7296,2-2,69.2,,72.0,78.8,1997,2052,0.501,7.38,0.577629499,8987.410604
Natural Gas Fired Combined Cycle,7296,2-2,103.8,,108.0,118.2,1997,2052,0.501,7.38,0.577629499,8987.410604
Natural Gas Fired Combined Cycle,7296,2-3,75.6,,82.6,74.8,2001,2056,0.501,7.38,0.577629499,8987.410604
Natural Gas Fired Combined Cycle,7296,2-3,113.4,,123.9,112.2,2001,2056,0.501,7.38,0.577629499,8987.410604
Natural Gas Fired Combined Cycle,7302,1GT,167.0,,173.4,174.0,1999,2054,0.629,7.359,0.955279588,2738.8691660000004
Natural Gas Fired Combined Cycle,7302,1GT2,167.0,,173.4,177.0,1999,2054,0.629,7.359,0.955279588,2738.8691660000004
Natural Gas Fired Combined Cycle,7302,1ST,167.0,,199.7,170.0,1999,2054,0.629,7.359,0.955279588,2738.8691660000004
Natural Gas Fired Combined Cycle,7302,2GT,176.0,,178.5,179.0,2003,2058,0.629,7.359,0.955279588,2738.8691660000004
Natural Gas Fired Combined Cycle,7302,2GT2,174.0,,178.5,183.0,2003,2058,0.629,7.359,0.955279588,2738.8691660000004
Natural Gas Fired Combined Cycle,7302,2ST,182.0,,191.3,187.0,2003,2058,0.629,7.359,0.955279588,2738.8691660000004
Natural Gas Fired Combined Cycle,7302,3GT,171.0,,178.5,175.0,2005,2060,0.629,7.359,0.955279588,2738.8691660000004
Natural Gas Fired Combined Cycle,7302,3GT2,176.0,,178.5,177.0,2005,2060,0.629,7.359,0.955279588,2738.8691660000004
Natural Gas Fired Combined Cycle,7302,3ST,176.0,,204.0,183.0,2005,2060,0.629,7.359,0.955279588,2738.8691660000004
Natural Gas Fired Combined Cycle,7302,4GT,188.0,,199.0,179.0,2007,2062,0.629,7.359,0.955279588,2738.8691660000004
Natural Gas Fired Combined Cycle,7302,4GT2,176.0,,199.0,179.0,2007,2062,0.629,7.359,0.955279588,2738.8691660000004
Natural Gas Fired Combined Cycle,7302,4ST,180.0,,212.5,186.0,2007,2062,0.629,7.359,0.955279588,2738.8691660000004
Natural Gas Fired Combustion Turbine,7307,1,16.0,,18.0,17.0,1996,2051,0.008,16.018,2.740763267,1230.331313
Natural Gas Fired Combustion Turbine,7307,2,23.0,,27.9,25.0,1996,2051,0.008,16.018,2.740763267,1230.331313
Natural Gas Fired Combustion Turbine,7307,3,23.0,,27.9,25.0,1996,2051,0.008,16.018,2.740763267,1230.331313
Natural Gas Fired Combined Cycle,7307,4,27.0,,26.8,28.0,1989,2044,0.342,8.37,3.516257561,4342.0804259999995
Natural Gas Fired Combined Cycle,7307,5,41.0,,40.0,45.0,2002,2057,0.342,8.37,3.516257561,4342.0804259999995
Natural Gas Fired Combined Cycle,7307,6,41.0,,42.5,46.0,2011,2066,0.342,8.37,3.516257561,4342.0804259999995
Natural Gas Fired Combined Cycle,7314,NA1,139.5,,170.0,160.0,1994,2049,0.327,8.281,0.320303344,12250.749539999999
Natural Gas Fired Combustion Turbine,7315,1,49.5,,49.5,49.5,1996,2051,0.162,10.745,14.23226102,8080.909324
Natural Gas Fired Combustion Turbine,7315,2,50.0,,58.0,58.0,2012,2067,0.15,10.745,14.23226102,8080.909324
Natural Gas Fired Combustion Turbine,7315,3,50.0,,58.0,58.0,2012,2067,0.15,10.745,14.23226102,8080.909324
Natural Gas Fired Combustion Turbine,7315,4,50.0,,58.0,58.0,2012,2067,0.15,10.745,14.23226102,8080.909324
Conventional Hydroelectric,7317,1,6.0,,6.0,6.0,1992,2092,0.458,,0.0,11012.0
Conventional Hydroelectric,7317,2,6.0,,6.0,6.0,1992,2092,0.458,,0.0,10959.0
Conventional Hydroelectric,7317,3,6.0,,6.0,6.0,1992,2092,0.458,,0.0,10959.0
Natural Gas Fired Combustion Turbine,7318,1,42.0,,45.1,42.0,1991,2046,0.01,11.471,0.286648753,8080.909324
Natural Gas Fired Combustion Turbine,7325,1,80.0,,88.2,87.0,1995,2050,0.49,13.347,7.017535275,10539.91632
Natural Gas Fired Combustion Turbine,7325,2,80.0,,88.2,87.0,1995,2050,0.49,13.347,7.017535275,10539.91632
Natural Gas Fired Combustion Turbine,7335,RCT1,34.0,,41.4,42.0,1992,2047,0.013,25.0,28.46452204,1230.331313
Natural Gas Fired Combustion Turbine,7335,RCT2,34.0,,41.4,42.0,1992,2047,0.013,25.0,28.46452204,1230.331313
Natural Gas Fired Combustion Turbine,7336,ACT1,34.0,,41.4,42.0,1992,2047,0.018,25.0,2.740763267,1230.331313
Natural Gas Fired Combustion Turbine,7336,ACT2,34.0,,41.4,42.0,1992,2047,0.018,25.0,2.740763267,1230.331313
Natural Gas Fired Combustion Turbine,7336,ACT3,72.0,,85.9,90.0,2004,2059,0.018,25.0,2.740763267,1230.331313
Run of River Hydroelectric,7338,NA1,17.7,,22.0,17.7,1993,2093,0.012,,0.0,7419.0
Natural Gas Fired Combustion Turbine,7339,6,21.0,,20.0,21.0,1989,2044,0.014,15.363,0.286648753,307.06971100000004
Batteries,65588,ANTLA,70.0,203.0,70.0,70.0,2024,2039,0.85,,0.0,12544.0
Conventional Steam Coal,594,4,410.0,,445.5,410.0,2012,2025,0.4,16.209,0.522375248,10328.70191
Petroleum Liquids,936,11,2.8,,2.8,2.8,2019,2069,0.007,10.745,1.370381634,1230.331313
Petroleum Liquids,1327,6,2.8,,3.1,2.8,2022,2072,0.0,12.159,4.092,10912.0
Petroleum Liquids,2023,CAT5,2.8,,3.1,2.8,2024,2074,0.924,9.142,0.53,2960.0
Petroleum Liquids,2023,CAT6,2.8,,3.1,2.8,2024,2074,0.924,9.142,0.53,2960.0
Landfill Gas,56895,7,2.8,,3.0,2.8,2024,2124,0.9,8.513,3.136,10167.0
Run of River Hydroelectric,61189,GEN1,2.8,,2.8,2.8,2015,2115,0.46,,0.0,15104.0
Run of River Hydroelectric,435,H3,2.7,,2.7,2.7,2020,2120,0.198,,0.0,15104.0
Petroleum Liquids,955,11,2.7,,2.7,2.7,2011,2061,0.002,10.745,28.46452204,8080.909324
Petroleum Liquids,955,12,2.7,,2.7,2.7,2011,2061,0.002,10.745,28.46452204,8080.909324
Petroleum Liquids,955,13,2.7,,2.7,2.7,2011,2061,0.002,10.745,28.46452204,8080.909324
Conventional Steam Coal,6002,1,631.4004,,647.649,631.4004,2011,2053,0.746,10.201,0.450716537,11585.37239
Petroleum Liquids,955,14,2.7,,2.7,2.7,2011,2061,0.002,10.745,28.46452204,8080.909324
Conventional Steam Coal,6002,1,56.3996,,57.851,56.3996,2011,2043,0.746,10.201,0.450716537,11585.37239
Natural Gas Fired Combustion Turbine,7345,P1,44.0,,54.2,50.0,1994,2049,0.86,10.745,14.23226102,1230.331313
Petroleum Liquids,7348,1,80.0,,91.9,93.0,1995,2045,0.0,13.07,0.947143212,1121.119057
Petroleum Liquids,7348,2,80.0,,91.9,93.0,1995,2045,0.0,13.071,0.947143212,1121.119057
Natural Gas Fired Combined Cycle,7350,1,168.3,,208.0,187.2,1995,2050,0.849,7.05,0.48702095,12250.749539999999
Natural Gas Fired Combined Cycle,7350,2,75.9,,88.0,83.7,1995,2050,0.849,7.05,0.48702095,12250.749539999999
Geothermal,7368,1,30.0,,55.0,32.0,1983,2030,0.891,9.771,0.587,56298.0
Geothermal,7368,2,30.0,,55.0,32.0,1983,2030,0.897,9.771,0.587,58468.0
Geothermal,7369,3,25.0,,55.0,25.0,1985,2030,0.008,9.771,0.587,57302.0
Geothermal,7369,4,40.0,,55.0,41.0,1986,2030,0.783,9.771,0.587,57756.0
Conventional Hydroelectric,7372,1,1.2,,1.2,1.2,1992,2092,0.291,,0.0,15971.0
Run of River Hydroelectric,7373,1,11.4,,11.4,10.5,1993,2093,0.136,,0.0,9000.0
Natural Gas Fired Combined Cycle,7380,CT1,179.0,,181.1,198.0,2002,2057,0.732,7.078,2.014222825,12250.749539999999
Natural Gas Fired Combined Cycle,7380,CT2,179.0,,181.1,198.0,2002,2057,0.732,7.078,2.014222825,12250.749539999999
Natural Gas Fired Combustion Turbine,7380,GT4,54.0,,62.0,62.0,2006,2061,0.055,11.687,1.74861846,1121.119057
Natural Gas Fired Combustion Turbine,7380,GT5,54.0,,62.0,62.0,2006,2061,0.055,11.687,1.74861846,1121.119057
Natural Gas Fired Combustion Turbine,7380,GT6,54.0,,62.0,62.0,2006,2061,0.055,11.687,1.74861846,1121.119057
Natural Gas Fired Combustion Turbine,7380,GT7,54.0,,62.0,62.0,2006,2061,0.055,11.687,1.74861846,1121.119057
Natural Gas Fired Combustion Turbine,7380,GT8,27.0,,62.0,31.0,2006,2061,0.055,11.668,1.74861846,1121.119057
Natural Gas Fired Combined Cycle,7380,ST3,185.0,,181.1,187.0,2002,2057,0.732,7.078,2.014222825,12250.749539999999
Onshore Wind Turbine,7381,1,5.2,,6.0,5.0,1997,2027,0.244,,0.0,21743.0
Natural Gas Internal Combustion Engine,7392,1,6.8,,7.0,6.8,1976,2031,0.002,25.0,28.46452204,1230.331313
Natural Gas Internal Combustion Engine,7392,2,6.9,,7.0,6.9,1976,2031,0.002,25.0,28.46452204,1230.331313
Petroleum Liquids,7392,3,6.4,,6.7,6.4,2002,2052,0.002,25.0,17.591,12574.0
Natural Gas Internal Combustion Engine,7392,4,6.1,,6.7,6.1,2002,2057,0.002,25.0,17.591,12574.0
Natural Gas Internal Combustion Engine,7392,5,6.4,,6.7,6.4,2002,2057,0.002,25.0,17.591,12574.0
Petroleum Liquids,7396,1,2.8,,2.7,2.8,1978,2028,0.008,10.745,2.740763267,1230.331313
Petroleum Liquids,7396,2,2.8,,2.7,2.8,1978,2028,0.008,10.745,2.740763267,1230.331313
Petroleum Liquids,7396,3,2.8,,2.7,2.8,1978,2028,0.008,10.745,2.740763267,1230.331313
Natural Gas Internal Combustion Engine,7397,5,2.1,,2.0,2.1,1967,2022,0.029,10.745,2.740763267,1230.331313
Natural Gas Internal Combustion Engine,7397,6,2.1,,2.0,2.1,1967,2022,0.029,10.745,2.740763267,1230.331313
Natural Gas Internal Combustion Engine,7397,7,2.9,,3.2,2.9,2001,2056,0.029,10.745,2.740763267,1230.331313
Natural Gas Internal Combustion Engine,7398,GEN1,5.5,,5.7,5.5,1980,2035,0.007,10.745,2.740763267,1230.331313
Natural Gas Internal Combustion Engine,7398,GEN2,6.7,,6.9,6.7,1984,2039,0.006,10.745,2.740763267,1230.331313
Natural Gas Internal Combustion Engine,7399,GEN3,7.5,,7.7,7.5,1993,2048,0.007,10.745,2.740763267,1230.331313
Natural Gas Internal Combustion Engine,7399,GEN4,7.5,,7.7,7.5,1993,2048,0.007,10.745,2.740763267,1230.331313
Petroleum Liquids,7400,1,0.8,,1.0,1.0,1983,2033,0.0,19.481,56.92904407,8080.909324
Petroleum Liquids,7400,2,0.8,,1.0,1.0,1983,2033,0.0,19.481,56.92904407,8080.909324
Petroleum Liquids,7400,3,1.8,,2.2,2.0,1986,2036,0.0,14.451,56.92904407,8080.909324
Petroleum Liquids,7400,4,1.8,,2.2,2.0,1986,2036,0.0,17.341,56.92904407,8080.909324
Petroleum Liquids,7405,G1,3.0,,3.0,3.0,1981,2031,0.001,10.745,5.481526534,307.06971100000004
Petroleum Liquids,7405,G2,1.6,,1.6,1.6,1989,2039,0.001,10.745,5.481526534,307.06971100000004
Petroleum Liquids,7406,G3,1.6,,1.6,1.6,1992,2042,0.002,10.745,2.740763267,307.06971100000004
Petroleum Liquids,7406,G4,1.6,,1.6,1.6,1992,2042,0.002,10.745,2.740763267,307.06971100000004
Petroleum Liquids,7406,G5,1.6,,1.6,1.6,1992,2042,0.002,10.745,2.740763267,307.06971100000004
Petroleum Liquids,7406,G6,1.8,,1.8,1.8,1999,2049,0.002,10.745,2.740763267,307.06971100000004
Natural Gas Internal Combustion Engine,7408,86-1,2.6,,2.6,2.6,1988,2043,0.0,25.0,5.481526534,1230.331313
Natural Gas Internal Combustion Engine,7408,86-2,2.6,,2.6,2.6,1988,2043,0.0,25.0,5.481526534,1230.331313
Natural Gas Internal Combustion Engine,7408,86-3,2.0,,2.5,2.0,1995,2050,0.0,25.0,5.481526534,1230.331313
Natural Gas Internal Combustion Engine,7408,86-4,2.0,,2.0,2.0,1995,2050,0.0,25.0,5.481526534,1230.331313
Landfill Gas,7413,1,0.8,,0.8,0.8,1992,2092,0.68,14.637,10.697,273430.0
Landfill Gas,7413,2,0.8,,0.8,0.8,1992,2092,0.68,14.638,10.613,265272.0
Landfill Gas,7413,3,0.8,,0.8,0.8,1993,2093,0.68,14.638,10.412,257004.00000000003
Landfill Gas,7413,4,0.8,,0.8,0.8,1993,2093,0.68,14.638,10.412,257004.00000000003
Petroleum Liquids,7415,5,0.9,,1.2,0.9,1985,2035,0.001,17.198,2.740763267,1230.331313
Petroleum Liquids,7415,6,2.0,,2.2,2.0,2003,2053,0.001,17.328,2.740763267,1230.331313
Natural Gas Fired Combustion Turbine,7425,1,108.4,,138.6,120.0,1997,2052,0.017,25.0,14.03507055,343.60217
Run of River Hydroelectric,7427,U#1,35.0,,35.0,35.0,1994,2094,0.349,,0.0,9155.0
Run of River Hydroelectric,7427,U#2,35.0,,35.0,35.0,1994,2094,0.349,,0.0,8856.0
Petroleum Liquids,7429,2,1.2,,1.2,1.2,1988,2038,0.006,21.242,2.740763267,1230.331313
Petroleum Liquids,955,15,2.7,,2.7,2.7,2011,2061,0.002,10.745,28.46452204,8080.909324
Run of River Hydroelectric,7431,1,5.0,,6.5,5.0,1991,2091,0.944,,0.0,11772.0
Petroleum Liquids,7432,1A,1.6,,1.7,1.6,1999,2049,0.0,22.33,56.92904407,8080.909324
